ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
SCCO,Southern Copper Corporation,USA,United States,Basic Materials,176.78,USD,221.67,20.3,147492.1,1654.4,-10.75,-13.85,Bearish,BUY,5.9,13420.0,3.4,2026-05-17T11:42:27.516440
FN,Fabrinet,USA,Cayman Islands,Technology,722.04,USD,748.89,3.6,25870.5,738.9,61.91,61.67,OVERBOUGHT,BUY,11.62,3419.3,2.28,2026-05-17T11:42:27.598786
IMO,Imperial Oil Limited,USA,Canada,Energy,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,4.31,45203.0,0.83,2026-05-17T11:42:27.747375
PUMP,ProPetro Holding Corp.,USA,United States,Energy,17.45,USD,18.5,5.7,2139.7,3717.8,51.13,52.81,OVERBOUGHT,Turning Up,-0.11,1269.2,1.24,2026-05-17T11:42:27.968532
RPRX,Royalty Pharma plc,USA,United States,Healthcare,52.85,USD,53.47,1.2,23427.0,3323.8,78.69,77.36,OVERBOUGHT,BUY,1.9,2378.2,2.4,2026-05-17T11:42:28.105201
VENU,Venu Holding Corporation,USA,United States,Consumer Cyclical,3.74,USD,18.17,79.4,225.7,320.9,-38.0,-45.55,Bearish,Strong BUY,-1.1,17.9,0.76,2026-05-17T11:42:28.140179
NVS,Novartis AG,USA,Switzerland,Healthcare,148.08,USD,170.46,13.1,282550.3,1959.8,-49.48,-45.46,OVERSOLD,Turning Up,6.97,56674.0,0.89,2026-05-17T11:42:28.295310
BBOT,BridgeBio Oncology Therapeutics,USA,United States,Healthcare,8.51,USD,14.87,42.8,681.7,326.4,-69.32,-71.46,OVERSOLD,Strong BUY,-1.92,0.0,12.34,2026-05-17T11:42:28.322734
SM,SM Energy Company,USA,United States,Energy,32.59,USD,33.25,2.0,7813.4,6111.9,48.03,45.78,OVERBOUGHT,BUY,2.37,3138.0,0.69,2026-05-17T11:42:28.388682
FRMI,Fermi Inc.,USA,United States,Real Estate,6.51,USD,36.99,82.4,4150.6,14178.2,-62.67,-68.29,OVERSOLD,Strong BUY,-1.13,0.0,2.31,2026-05-17T11:42:28.527170
WMB,"Williams Companies, Inc. (The)",USA,United States,Energy,77.72,USD,78.24,0.7,95051.4,6371.6,31.52,28.48,Bullish,BUY,2.28,11950.0,0.48,2026-05-17T11:42:28.957510
GPRK,Geopark Ltd,USA,Colombia,Energy,9.58,USD,10.34,7.4,619.7,1001.1,17.14,14.78,Bullish,BUY,1.06,492.5,1.51,2026-05-17T11:42:29.110394
WLDN,"Willdan Group, Inc.",USA,United States,Industrials,92.12,USD,137.0,32.8,1392.0,394.0,-22.56,-44.42,Bearish,Strong BUY,3.72,681.6,1.56,2026-05-17T11:42:29.357782
SIDU,"Sidus Space, Inc.",USA,United States,Industrials,4.01,USD,5.99,33.1,324.3,17491.0,-5.58,-3.01,Bearish,Turning Up,-1.19,3.4,3.36,2026-05-17T11:42:29.375880
CAH,"Cardinal Health, Inc.",USA,United States,Healthcare,195.2,USD,233.6,16.4,45717.0,1906.3,-61.8,-58.89,OVERSOLD,Turning Up,6.56,222578.0,0.5,2026-05-17T11:42:29.499953
ALXO,ALX Oncology Holdings Inc.,USA,United States,Healthcare,2.03,USD,2.66,23.7,273.2,906.5,-21.75,-31.09,Bearish,Strong BUY,-1.49,0.0,2.07,2026-05-17T11:42:29.523054
FANG,"Diamondback Energy, Inc.",USA,United States,Energy,203.56,USD,214.51,5.1,57264.1,3307.4,40.27,43.32,OVERBOUGHT,Turning Up,0.98,14929.0,0.4,2026-05-17T11:42:29.654809
FICO,Fair Isaac Corporation,USA,United States,Technology,1098.59,USD,2217.6,50.5,25477.3,370.1,-38.24,-46.62,Bearish,Strong BUY,31.53,1990.9,0.83,2026-05-17T11:42:29.782638
CDRE,"Cadre Holdings, Inc.",USA,United States,Industrials,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,0.84,610.3,2.54,2026-05-17T11:42:30.008509
RIG,Transocean Ltd (Switzerland),USA,Switzerland,Energy,7.04,USD,7.14,1.4,7859.7,37653.7,27.15,24.18,Bullish,BUY,-2.89,3965.0,1.27,2026-05-17T11:42:30.134109
IVA,Inventiva S.A. - American Depos,USA,France,Healthcare,5.44,USD,7.98,31.9,1129.6,345.7,-59.49,-60.9,OVERSOLD,Strong BUY,-2.23,4.5,3.16,2026-05-17T11:42:30.510861
TH,Target Hospitality Corp.,USA,United States,Industrials,18.66,USD,18.93,1.4,1869.1,1132.2,82.18,79.62,OVERBOUGHT,BUY,-0.43,320.6,0.87,2026-05-17T11:42:30.744162
VZLA,Vizsla Silver Corp.,USA,Canada,Basic Materials,3.5,USD,7.19,51.3,1223.2,8539.1,-38.35,-48.28,Bearish,Strong BUY,-0.36,0.0,34.06,2026-05-17T11:42:30.988858
