ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
CPA,"Copa Holdings, S.A.",USA,Panama,Industrials,131.72,USD,156.41,15.8,5374.1,479.6,-15.43,-31.05,Bearish,Strong BUY,17.16,3617.8,1.2,2026-05-17T11:18:28.019186
GPRK,Geopark Ltd,USA,Colombia,Energy,9.58,USD,10.34,7.4,619.7,1001.1,17.14,14.78,Bullish,BUY,1.06,492.5,1.51,2026-05-17T11:18:28.089994
CNQ,Canadian Natural Resources Limi,USA,Canada,Energy,47.98,USD,51.34,6.5,100072.4,11350.4,6.11,12.28,Bullish,Turning Up,4.07,44167.0,0.63,2026-05-17T11:18:28.136395
FRMI,Fermi Inc.,USA,--,--,6.51,USD,36.99,82.4,4150.6,14178.2,-62.67,-68.29,OVERSOLD,Strong BUY,,0.0,2.31,2026-05-17T11:18:28.221567
WTTR,"Select Water Solutions, Inc.",USA,United States,Energy,18.96,USD,19.04,0.4,2357.8,2043.6,69.39,66.29,OVERBOUGHT,BUY,0.21,1407.3,1.42,2026-05-17T11:18:28.245227
BRK-B,Berkshire Hathaway Inc. New,USA,United States,Financial Services,482.7,USD,516.85,6.6,1041113.4,4783.9,-38.86,-46.22,Bearish,Strong BUY,33.6,410522.0,,2026-05-17T11:18:28.712054
LLYVK,"Liberty Live Holdings, Inc. - S",USA,United States,Communication Services,99.51,USD,102.62,3.0,9155.4,349.7,25.35,23.8,Bullish,BUY,-3.83,382.0,0.33,2026-05-17T11:18:28.745710
TKO,"TKO Group Holdings, Inc.",USA,United States,Communication Services,190.07,USD,226.94,16.2,14249.1,1378.5,-63.04,-62.98,OVERSOLD,Turning Up,2.7,4735.2,1.23,2026-05-17T11:18:28.815738
SCHW,Charles Schwab Corporation (The,USA,United States,Financial Services,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,5.03,23921.0,,2026-05-17T11:18:28.883369
PDYN,Palladyne AI Corp.,USA,United States,Technology,6.45,USD,13.0,50.4,304.7,2402.1,-49.21,-50.28,OVERSOLD,Strong BUY,-0.59,5.2,9.22,2026-05-17T11:18:28.996696
JHG,Janus Henderson Group plc,USA,United Kingdom,Financial Services,51.72,USD,53.76,3.8,7968.8,3195.4,19.86,18.17,Bullish,BUY,5.05,3097.3,4.18,2026-05-17T11:18:29.094102
FCX,"Freeport-McMoRan, Inc.",USA,United States,Basic Materials,63.01,USD,70.97,11.2,90580.6,17172.0,9.56,11.37,Bullish,Turning Up,1.89,25915.0,1.05,2026-05-17T11:18:29.335624
WDAY,"Workday, Inc.",USA,United States,Technology,125.01,USD,274.65,54.5,31213.2,5405.0,-39.6,-46.78,Bearish,Strong BUY,2.59,9552.0,1.32,2026-05-17T11:18:29.398064
IMO,Imperial Oil Limited,USA,Canada,Energy,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,4.31,45203.0,0.83,2026-05-17T11:18:29.592864
TH,Target Hospitality Corp.,USA,United States,Industrials,18.66,USD,18.93,1.4,1869.1,1132.2,82.18,79.62,OVERBOUGHT,BUY,-0.43,320.6,0.87,2026-05-17T11:18:29.791637
VIST,Vista Energy S.A.B. de C.V.,USA,Mexico,Energy,72.29,USD,79.2,8.7,7606.3,1701.2,17.36,21.45,Bullish,Turning Up,6.86,2474.2,0.86,2026-05-17T11:18:30.291097
PSX,Phillips 66,USA,United States,Energy,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,10.11,132376.0,0.91,2026-05-17T11:18:30.348249
VIRT,"Virtu Financial, Inc.",USA,United States,Financial Services,54.49,USD,55.33,1.5,4742.0,1241.2,73.18,69.38,OVERBOUGHT,BUY,6.04,3632.1,1.69,2026-05-17T11:18:30.406229
ALXO,ALX Oncology Holdings Inc.,USA,United States,Healthcare,2.03,USD,2.66,23.7,273.2,906.5,-21.75,-31.09,Bearish,Strong BUY,-1.49,0.0,2.07,2026-05-17T11:18:30.518134
GRAL,"GRAIL, Inc.",USA,United States,Healthcare,59.65,USD,118.84,49.8,2560.0,1233.9,-16.61,-35.67,Bearish,Strong BUY,-10.3,147.2,11.77,2026-05-17T11:18:30.854833
SIDU,"Sidus Space, Inc.",USA,United States,Industrials,4.01,USD,5.99,33.1,324.3,17491.0,-5.58,-3.01,Bearish,Turning Up,-1.19,3.4,3.36,2026-05-17T11:18:30.925830
ABT,Abbott Laboratories,USA,United States,Healthcare,84.47,USD,139.06,39.3,147131.0,12020.1,-91.22,-90.08,OVERSOLD,Turning Up,3.57,44328.0,1.18,2026-05-17T11:18:31.107160
CME,CME Group Inc.,USA,United States,Financial Services,298.86,USD,329.16,9.2,108294.7,2348.0,-33.55,-32.38,Bearish,Strong BUY,11.72,6520.6,1.03,2026-05-17T11:18:31.331654
RPRX,Royalty Pharma plc,USA,United States,Healthcare,52.85,USD,53.47,1.2,23427.0,3323.8,78.69,77.36,OVERBOUGHT,BUY,1.9,2378.2,2.4,2026-05-17T11:18:31.512437
KYN,Kayne Anderson MLP/Midstream In,USA,United States,Financial Services,14.39,USD,14.69,2.0,2433.7,417.6,21.04,13.88,Bullish,BUY,-0.28,-66.0,,2026-05-17T11:18:31.586525
VRTX,Vertex Pharmaceuticals Incorpor,USA,United States,Healthcare,436.95,USD,507.92,14.0,110900.3,1283.9,-67.31,-69.47,OVERSOLD,Strong BUY,16.87,12001.3,2.46,2026-05-17T11:18:31.741282
RPD,"Rapid7, Inc.",USA,United States,Technology,6.5,USD,25.85,74.9,434.4,2177.2,-16.33,-37.54,Bearish,Strong BUY,0.35,859.8,1.28,2026-05-17T11:18:31.907424
CMCO,Columbus McKinnon Corporation,USA,United States,Industrials,14.28,USD,24.4,41.5,410.4,405.3,-39.05,-44.84,Bearish,Strong BUY,0.21,963.0,1.04,2026-05-17T11:18:32.250758
