ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
FCX,FCX,USA,--,--,63.01,USD,70.97,11.2,90580.6,17172.0,9.56,11.37,Bullish,Turning Up,,25915.0,1.05,2026-05-17T10:47:12.434250
CCCC,CCCC,USA,--,--,3.56,USD,3.95,9.9,393.6,3054.2,9.07,3.47,Bullish,BUY,,35.9,7.81,2026-05-17T10:47:12.544735
AGYS,AGYS,USA,--,--,67.34,USD,145.25,53.6,1892.8,303.0,-39.87,-50.17,Bearish,Strong BUY,,275.6,1.07,2026-05-17T10:47:12.587616
RLI,RLI,USA,--,--,50.82,USD,77.24,34.2,4672.3,788.4,-74.09,-70.44,OVERSOLD,Turning Up,,1882.4,,2026-05-17T10:47:12.992914
TM,TM,USA,--,--,190.68,USD,248.9,23.4,248520.5,364.8,-80.15,-79.38,OVERSOLD,Turning Up,,48036704.0,1.1,2026-05-17T10:47:13.128013
EE,EE,USA,--,--,35.71,USD,43.17,17.3,1136.9,484.9,-39.54,-47.57,Bearish,Strong BUY,,1228.3,2.34,2026-05-17T10:47:13.185493
LI,LI,USA,--,--,18.51,USD,32.03,42.2,18892.5,3077.9,1.17,3.6,Bullish,Turning Up,,112312.5,1.68,2026-05-17T10:47:13.621012
HSY,HSY,USA,--,--,186.98,USD,239.48,21.9,37927.7,1907.4,-74.88,-69.34,OVERSOLD,Turning Up,,11692.6,0.77,2026-05-17T10:47:13.823668
RPD,RPD,USA,--,--,6.5,USD,25.85,74.9,434.4,2177.2,-16.33,-37.54,Bearish,Strong BUY,,859.8,1.28,2026-05-17T10:47:13.875678
CNH,CNH,USA,--,--,10.43,USD,14.27,26.9,12932.7,16300.5,-42.18,-43.88,OVERSOLD,Strong BUY,,18095.0,1.9,2026-05-17T10:47:14.209903
IVA,IVA,USA,--,--,5.44,USD,7.98,31.9,1129.6,345.7,-59.49,-60.9,OVERSOLD,Strong BUY,,4.5,3.16,2026-05-17T10:47:14.533884
